datetime_nano,price,direction
2022-01-04 10:16:00,7329.6,buy
2022-01-04 10:31:00,7325.4,sell
2022-01-04 10:41:00,7325.0,buy
2022-01-04 10:42:00,7321.8,sell
2022-01-04 10:51:00,7324.0,buy
2022-01-04 11:05:00,7334.2,sell
2022-01-04 11:08:00,7335.2,buy
2022-01-04 11:13:00,7330.4,sell
2022-01-04 11:17:00,7341.4,buy
2022-01-04 13:00:00,7339.8,sell
2022-01-04 13:09:00,7345.6,buy
2022-01-04 13:32:00,7369.0,sell
2022-01-04 13:33:00,7369.4,buy
2022-01-04 13:51:00,7376.0,sell
2022-01-04 13:56:00,7378.4,buy
2022-01-04 14:05:00,7371.6,sell
2022-01-04 14:22:00,7359.4,buy
2022-01-04 14:24:00,7357.8,sell
2022-01-04 14:30:00,7363.4,buy
2022-01-04 14:36:00,7359.2,sell
2022-01-04 14:42:00,7360.0,buy
2022-01-04 14:46:00,7361.6,sell
2022-01-04 14:47:00,7365.8,buy
2022-01-04 14:53:00,7362.8,sell
2022-01-04 14:57:00,7367.4,buy
2022-01-05 09:32:00,7348.2,sell
2022-01-05 10:12:00,7285.0,buy
2022-01-05 10:18:00,7273.2,sell
2022-01-05 10:35:00,7261.4,buy
2022-01-05 10:38:00,7263.2,sell
2022-01-05 10:43:00,7265.8,buy
2022-01-05 10:48:00,7254.0,sell
2022-01-05 10:53:00,7270.0,buy
2022-01-05 11:00:00,7257.4,sell
2022-01-05 11:05:00,7270.6,buy
2022-01-05 11:10:00,7256.2,sell
2022-01-05 11:25:00,7249.4,buy
2022-01-05 13:01:00,7243.4,sell
2022-01-05 13:14:00,7248.0,buy
2022-01-05 13:19:00,7234.4,sell
2022-01-05 13:39:00,7228.8,buy
2022-01-05 13:48:00,7223.4,sell
2022-01-05 13:52:00,7229.6,buy
2022-01-05 13:57:00,7223.8,sell
2022-01-05 14:03:00,7234.8,buy
2022-01-05 14:21:00,7246.8,sell
2022-01-05 14:34:00,7245.0,buy
2022-01-05 14:40:00,7230.4,sell
2022-01-06 09:37:00,7214.0,buy
2022-01-06 09:42:00,7200.2,sell
2022-01-06 09:53:00,7209.2,buy
2022-01-06 10:02:00,7204.2,sell
2022-01-06 10:20:00,7185.6,buy
2022-01-06 10:26:00,7169.8,sell
2022-01-06 10:31:00,7186.4,buy
2022-01-06 10:43:00,7200.0,sell
2022-01-06 10:52:00,7198.0,buy
2022-01-06 11:14:00,7223.2,sell
2022-01-06 11:16:00,7222.8,buy
2022-01-06 13:00:00,7223.6,sell
2022-01-06 13:08:00,7229.8,buy
2022-01-06 13:30:00,7233.6,sell
